Ministry/Sector,Agency/Dept,Service Name,Description,Simple Service Name,Simple Description,Service Category,Access Method,Online Platform,Required Documents,Processing Time,Cost,Eligibility,Contact/Link,Deep Link to Service,Has Online Form?,Form Type,Form URL,Has PDF Form?,PDF Form URL,Form Submission Method,Notes/Research Status
Tourism,NIHOTOUR,Culinary Arts Certification,Professional certification in culinary arts,Get Culinary Arts Certification Certificate,Get an official document proving you've completed culinary arts certification.,Certification,Offline,NIHOTOUR culinary school,Culinary training completion,2-3 months,Free,Chefs/cooks,www.nihotour.gov.ng,,,,,,,,
Tourism,NTDC,Tourism Information Services,Access tourism information and guides,Find information about tourism information,Learn about tourism information services and how it can help you.,Information,Online/Offline,Tourist information centers,None,Instant,Free,Tourists/public,www.nigerian-tourism.gov.ng,,,,,,,,
Tourism,NTDC,Hotel Rating Service,Get official hotel rating/classification,Get Hotel Rating Service Certificate,Get an official document proving you've completed hotel rating service.,Certification,Offline,NTDC rating dept,Hotel facility inspection,14-30 days,"₦100,000-₦500,000",Hotels,www.nigerian-tourism.gov.ng,,,,,,,,
Tourism,NTDC,Tourism Complaint Filing,Report poor tourism service,Report Tourism Complaint Filing Problem,Tell the government about your tourism complaint filing problem. It is free.,Complaint,Online/Offline,NTDC complaint desk,"Complaint details, evidence",5-15 days,Free,Tourists,www.nigerian-tourism.gov.ng,,,,,,,,
Tourism,NTDC,Conference/Event Facility Approval,Get approval for events/conferences,Get your conference/event facility approval,Get official permission from the government for conference/event facility approval.,Licensing,Offline,NTDC events dept,"Venue details, event plan",7-14 days,"₦50,000-₦200,000",Event organizers,www.nigerian-tourism.gov.ng,,,,,,,,
Arts & Culture,NCAC,Artist Registration,Register as official artist with Nigeria,Get your artist registration,Register to officially get artist registration.,Registration,Online/Offline,NCAC centers,"ID, portfolio, art samples",7-14 days,"₦10,000-₦50,000",Artists,www.ncac.gov.ng,,,,,,,,
Arts & Culture,NCAC,Cultural Event Sponsorship,Apply for government sponsorship of cultural events,Get your cultural event sponsorship,Get official permission from the government for cultural event sponsorship.,Licensing,Offline,NCAC events dept,"Event proposal, budget, cultural value",30-60 days,"₦500,000-₦5,000,000",Event organizers,www.ncac.gov.ng,,,,,,,,
Arts & Culture,NCAC,Traditional Institution Recognition,Get official recognition for chiefdoms/traditional rulers,Get Traditional Institution Recognition Certificate,Get an official document proving you've completed traditional institution recognition.,Certification,Offline,NCAC traditional dept,"Historical proof, community endorsement",30-90 days,"₦200,000-₦1,000,000",Traditional institutions,www.ncac.gov.ng,,,,,,,,
Arts & Culture,NCAC,Arts Funding Access,Apply for government arts grants and funding,Get your arts funding access,Get official permission from the government for arts funding access.,Licensing,Online/Offline,NCAC funding dept,"Art proposal, artist credentials",45-90 days,"₦1,000,000-₦10,000,000",Professional artists,www.ncac.gov.ng,,,,,,,,
Arts & Culture,NCAC,Cultural Heritage Registration,Register cultural site or heritage,Get your cultural heritage registration,Register to officially get cultural heritage registration.,Registration,Offline,NCAC heritage dept,"Heritage documentation, location proof",14-30 days,Free,Heritage owners/communities,www.ncac.gov.ng,,,,,,,,
Arts & Culture,CBAAC,Exhibition Space Booking,Book exhibition space in cultural centers,Get your exhibition space booking,Get official permission from the government for exhibition space booking.,Licensing,Offline,CBAAC exhibition offices,"Exhibition proposal, insurance",7-14 days,"₦500,000-₦2,000,000/month",Artists/curators,www.cbaac.gov.ng,,,,,,,,
Arts & Culture,CBAAC,Cultural Performance Permit,Get permit for cultural performances,Get a cultural performance permit,Get official permission from the government for cultural performance permit.,Licensing,Offline,CBAAC permits office,"Performance details, artist credentials",3-7 days,"₦50,000-₦500,000",Performers,www.cbaac.gov.ng,,,,,,,,
Arts & Culture,NCAC,Craft Production Certification,Certify traditional craft production,Get Craft Production Certification Certificate,Get an official document proving you've completed craft production certification.,Certification,Offline,NCAC craft dept,"Craft samples, production process proof",10-20 days,"₦50,000-₦200,000",Craft producers,www.ncac.gov.ng,,,,,,,,
Arts & Culture,NCAC,Artist Residency Program,Access artist residency opportunities,Learn Artist Residency Program,Take a free training class to learn artist residency program.,Training,Offline,NCAC residency centers,"Artist portfolio, project proposal",30-60 days,Free/Sponsored,Artists,www.ncac.gov.ng,,,,,,,,
Arts & Culture,CBAAC,Museum Collection Management,Support for museum collection development,Find information about museum collection management,Learn about museum collection management and how it can help you.,Information,Offline,CBAAC museum dept,"Collection details, historical context",Ongoing consultation,Free,Museums,www.cbaac.gov.ng,,,,,,,,
Arts & Culture,NCAC,Intangible Heritage Documentation,Document intangible cultural heritage,Find information about intangible heritage documentation,Learn about intangible heritage documentation and how it can help you.,Information,Offline,NCAC heritage unit,"Heritage description, community support",2-4 weeks,Free,Communities,www.ncac.gov.ng,,,,,,,,
Arts & Culture,NCAC,Cultural Exchange Program,Participate in international cultural exchange,Learn Cultural Exchange Program,Take a free training class to learn cultural exchange program.,Training,Offline,NCAC international office,"Artist credentials, proposal",60-90 days,Varies,Cultural professionals,www.ncac.gov.ng,,,,,,,,
Mining & Resources,MSGM,Mining License Application,Apply for license to conduct mining operations,Get a mining license,Get official permission from the government for mining license application.,Licensing,Offline,Ministry mining dept,"Environmental plan, technical proposal, financial proof",60-120 days,"₦500,000-₦5,000,000",Mining companies,www.mining.gov.ng,,,,,,,,
Mining & Resources,MSGM,Artisanal Mining Permit,Get permit for small-scale mining,Get a artisanal mining permit,Get official permission from the government for artisanal mining permit.,Licensing,Offline,State mining offices,"ID, mining site proof, community endorsement",14-30 days,"₦50,000-₦200,000",Artisanal miners,www.mining.gov.ng,,,,,,,,
Mining & Resources,MSGM,Mineral Inspection Service,Official inspection of mining sites,Find information about mineral inspection service,Learn about mineral inspection service and how it can help you.,Information,Offline,Inspection teams,"Site location, operation details",7-14 days,"₦100,000-₦500,000",Miners,www.mining.gov.ng,,,,,,,,
Mining & Resources,MSGM,Export Permit for Minerals,Get permit to export mined minerals,Get a export permit for minerals,Get official permission from the government for export permit for minerals.,Licensing,Offline,Ministry export dept,"Mining license, mineral samples, destination",7-14 days,"₦100,000-₦500,000",Mining exporters,www.mining.gov.ng,,,,,,,,
Mining & Resources,GSN,Geological Report Issuance,Get official geological survey reports,Find information about geological report issuance,Learn about geological report issuance and how it can help you.,Information,Offline,GSN offices,"Site location, survey requirements",14-30 days,"₦50,000-₦500,000",Miners/explorers,www.gsn.gov.ng,,,,,,,,
Mining & Resources,GSN,Mineral Deposit Information,Get info on mineral deposits in areas,Find information about mineral deposit information,Learn about mineral deposit information and how it can help you.,Information,Online/Offline,GSN database,Location specification,Real-time/3-5 days,Free,Explorers/investors,www.gsn.gov.ng,,,,,,,,
Mining & Resources,GSN,Soil Analysis Service,Professional soil/rock analysis,Find information about soil analysis service,Learn about soil analysis service and how it can help you.,Information,Offline,GSN labs,Soil/rock samples,7-14 days,"₦20,000-₦100,000",Farmers/miners,www.gsn.gov.ng,,,,,,,,
Mining & Resources,MSGM,Rehabilitation Bond Application,Apply for mining site rehabilitation bond,Get your rehabilitation bond,Get official permission from the government for rehabilitation bond application.,Licensing,Offline,Ministry bonding dept,"Mining plan, financial statement",10-20 days,Bond amount varies,Mining companies,www.mining.gov.ng,,,,,,,,
Oil & Gas,NUPRC,Petroleum License Application,Apply for upstream petroleum operation license,Get a petroleum license,Get official permission from the government for petroleum license application.,Licensing,Offline,NUPRC office,"Technical proposal, financial capability, safety plan",90-180 days,"₦1,000,000-₦100,000,000+",Oil companies,www.nuprc.gov.ng,,,,,,,,
Oil & Gas,NUPRC,Gas Flaring Report,Submit gas flaring incident report,Gas Flaring Report,Follow the government process to get gas flaring report.,Compliance,Online/Offline,NUPRC reporting system,"Incident details, volume, cause",Real-time,Free,Operators,www.nuprc.gov.ng,,,,,,,,
Oil & Gas,NUPRC,Production Compliance Report,File regular production reports,Production Compliance Report,Follow the government process to get production compliance report.,Compliance,Online,NUPRC portal,"Production data, operational status",Monthly/Quarterly,Free,Licensed operators,www.nuprc.gov.ng,,,,,,,,
Oil & Gas,NUPRC,Well Abandonment Permit,Get approval to abandon oil/gas well,Get a well abandonment permit,Get official permission from the government for well abandonment permit.,Licensing,Offline,NUPRC wells dept,"Well details, abandonment plan",30-60 days,"₦500,000-₦5,000,000",Operators,www.nuprc.gov.ng,,,,,,,,
Oil & Gas,NMDPRA,Petroleum Product Supply Permit,Get permit for downstream petroleum supply,Get a petroleum product supply permit,Get official permission from the government for petroleum product supply permit.,Licensing,Offline,NMDPRA office,"Supply plan, facility specs, safety cert",14-30 days,"₦200,000-₦1,000,000",Petroleum dealers,www.nmdpra.gov.ng,,,,,,,,
Oil & Gas,NUPRC,Environmental Compliance Certification,Get environmental certification for operations,Get Environmental Compliance Certification Certificate,Get an official document proving you've completed environmental compliance certification.,Certification,Offline,NUPRC environmental unit,"Environmental audit, mitigation plans",30-60 days,"₦500,000-₦2,000,000",Operators,www.nuprc.gov.ng,,,,,,,,
Oil & Gas,NUPRC,Community Engagement Plan Approval,Get approval for community relations program,Community Engagement Plan Approval,Follow the government process to get community engagement plan approval.,Compliance,Offline,NUPRC social dept,"Engagement proposal, community consultation proof",14-21 days,Free,Operators,www.nuprc.gov.ng,,,,,,,,
Oil & Gas,NMDPRA,Petroleum Product Quality Testing,Test petroleum product quality standards,Find information about petroleum product quality testing,Learn about petroleum product quality testing and how it can help you.,Information,Offline,Testing labs,Product samples,3-7 days,"₦50,000-₦200,000",Product sellers,www.nmdpra.gov.ng,,,,,,,,
Manufacturing,NADDC,Automotive Design Certification,Certify automotive designs meet standards,Get Automotive Design Certification Certificate,Get an official document proving you've completed automotive design certification.,Certification,Offline,NADDC centers,"Design specifications, technical drawings",21-60 days,"₦500,000-₦2,000,000",Auto manufacturers,www.naddc.gov.ng,,,,,,,,
Manufacturing,FIRS,Manufacturing Tax Incentive Application,Apply for tax incentives as manufacturer,Get your manufacturing tax incentive,Get official permission from the government for manufacturing tax incentive application.,Licensing,Online/Offline,FIRS incentive dept,"Manufacturing proof, investment details",30-60 days,Incentive-dependent,Manufacturers,www.firs.gov.ng,,,,,,,,
Manufacturing,NASENI,Manufacturing Innovation Grant,Apply for innovation funding for manufacturing,Get your manufacturing innovation grant,Get official permission from the government for manufacturing innovation grant.,Licensing,Offline,NASENI offices,"Innovation proposal, technical feasibility",60-90 days,"₦5,000,000-₦50,000,000",Manufacturers,www.naseni.org.ng,,,,,,,,
Manufacturing,Ministry,Industrial Park Access,Get access to federal industrial parks,Get your industrial park access,Get official permission from the government for industrial park access.,Licensing,Offline,Ministry industrial parks,"Business registration, capital proof",30-60 days,"₦500,000-₦5,000,000",Industries,www.fmitrade.gov.ng,,,,,,,,
Manufacturing,Ministry,Manufacturing Cluster Development,Join government manufacturing clusters,Manufacturing Cluster Development,Follow the government process to get manufacturing cluster development.,Compliance,Offline,Cluster coordinators,"Business registration, sector alignment",Ongoing,Free,Registered industries,www.fmitrade.gov.ng,,,,,,,,
Manufacturing,FIRS,Import Duty Exemption (Manufacturing),Apply for import duty exemption on equipment,Get your import duty exemption (manufacturing),Get official permission from the government for import duty exemption (manufacturing).,Licensing,Online/Offline,FIRS duty dept,"Equipment specifications, business registration",14-30 days,Varies by equipment,Manufacturers,www.firs.gov.ng,,,,,,,,
Manufacturing,NBS,Manufacturing Statistics Access,Access industry statistics and data,Find information about manufacturing statistics access,Learn about manufacturing statistics access and how it can help you.,Information,Online,www.nigerianstat.gov.ng,None,Real-time,Free,Public/Businesses,www.nigerianstat.gov.ng,,,,,,,,
Manufacturing,Ministry,Quality Management Certification,Get ISO and quality certifications for manufacturing,Get Quality Management Certification Certificate,Get an official document proving you've completed quality management certification.,Certification,Offline,Certification bodies,"Quality system documentation, audit",60-90 days,"₦200,000-₦1,000,000",Manufacturers,www.fmitrade.gov.ng,,,,,,,,
Police & Security,NPF,Police Recruitment,Apply to join the Nigerian Police Force,Join The Police Force,Apply to become a police officer in Nigeria.,Licensing,Online,www.npfrecruitment.gov.ng,"Educational cert, NIN, medical cert",90-180 days,Free,Qualified Nigerians 18-30,www.npfrecruitment.gov.ng,,,,,,,,
Police & Security,NPF,Character Clearance Certificate,Get police clearance certificate for employment,Get Character Clearance Certificate Certificate,Get an official document proving you've completed character clearance.,Certification,Offline,Police stations,"ID, employment offer letter",3-7 days,"₦5,000-₦20,000",Job applicants,www.npf.gov.ng,,,,,,,,
Police & Security,NPF,Police Record Search,Check police records for someone,Find information about police record search,Learn about police record search and how it can help you.,Information,Offline,Police records office,"Person's name, date of birth",2-5 days,"₦5,000-₦15,000",Employers/courts,www.npf.gov.ng,,,,,,,,
Police & Security,NPF,Incident Report Filing,File formal police incident report,Report Incident Report Filing Problem,Tell the government about your incident report filing problem. It is free.,Complaint,Offline,Police stations,"Incident details, evidence, witnesses",1-2 days,Free,Crime victims,www.npf.gov.ng,,,,,,,,
Police & Security,NPF,Lost & Found Inquiry,Inquire about lost property with police,Find information about lost & found inquiry,Learn about lost & found inquiry and how it can help you.,Information,Offline,Police lost property office,"Item description, date lost",2-7 days,Free,Loss victims,www.npf.gov.ng,,,,,,,,
Police & Security,NSCDC,Community Guard Training,Training for community security guards,Learn Community Guard Training,Take a free training class to learn community guard training.,Training,Offline,NSCDC centers,"Secondary education, age 18+",4-6 weeks,Free,Community members,www.nscdc.gov.ng,,,,,,,,
Police & Security,NSCDC,Security Clearance Certificate,Get government security clearance,Get Security Clearance Certificate Certificate,Get an official document proving you've completed security clearance.,Certification,Offline,NSCDC office,"ID, background documents",14-30 days,"₦50,000-₦200,000",Sensitive position seekers,www.nscdc.gov.ng,,,,,,,,
Police & Security,NPF,Traffic Police License Verification,Verify traffic violations and licenses,Find information about traffic police license verification,Learn about traffic police license verification and how it can help you.,Information,Online,Traffic police portal,License number,Real-time,Free,Public,www.frsc.gov.ng,,,,,,,,
Police & Security,NPF,Police Complaint Filing (SERVICOM),File complaints about police conduct,Report Police Complaint Filing (SERVICOM) Problem,Tell the government about your police complaint filing (servicom) problem. It is free.,Complaint,Online/Offline,SERVICOM office,"Complaint details, evidence",5-15 days,Free,Public,www.servicom.gov.ng,,,,,,,,
Police & Security,NSCDC,Asset Protection Permit,Get permit for private asset protection,Get a asset protection permit,Get official permission from the government for asset protection permit.,Licensing,Offline,NSCDC licensing,"Asset details, security plan",7-14 days,"₦100,000-₦500,000",Asset owners,www.nscdc.gov.ng,,,,,,,,
Youth & Development,FYDP,Youth Mentorship Program,Access mentoring from experienced professionals,Learn Youth Mentorship Program,Take a free training class to learn youth mentorship program.,Training,Offline,Youth centers,"Age proof, interest area",3-6 months,Free,Ages 15-35,www.youthpolicy.gov.ng,,,,,,,,
Youth & Development,FYDP,Vocational Training Access,Enroll in vocational skills training,Learn A Trade,"Get training in tailoring, plumbing, electrical work etc.",Training,Offline,Technical centers,"Secondary education, skill interest",3-6 months,Free,School leavers/youth,www.youthpolicy.gov.ng,,,,,,,,
Youth & Development,FYDP,Youth Entrepreneurship Fund,Access startup funding for young entrepreneurs,Get your youth entrepreneurship fund,Get official permission from the government for youth entrepreneurship fund.,Licensing,Online/Offline,Youth finance dept,"Business plan, age proof, NIN",30-60 days,"₦500,000-₦5,000,000",Youth entrepreneurs,www.youthpolicy.gov.ng,,,,,,,,
Youth & Development,FYDP,Leadership Development Program,Training in leadership and civic responsibility,Learn Leadership Development Program,Take a free training class to learn leadership development program.,Training,Offline,Youth institutes,"Educational background, interest",2-3 months,Free,Youth,www.youthpolicy.gov.ng,,,,,,,,
Youth & Development,NYSC,National Youth Service Corps,Mandatory youth service opportunity,Learn National Youth Service Corps,Take a free training class to learn national youth service corps.,Training,Offline,NYSC offices,"University degree, age 18-30",1 year posting,Free + stipend,University graduates,www.nysc.gov.ng,,,,,,,,
Youth & Development,FYDP,Digital Skills Training,Training in tech and digital skills,Learn Digital Skills Training,Take a free training class to learn digital skills training.,Training,Online/Offline,Tech centers,Basic education,8-12 weeks,Free,Youth,www.youthpolicy.gov.ng,,,,,,,,
Youth & Development,FYDP,Youth Grants Program,Access small grants for youth projects,Get your youth grants program,Get official permission from the government for youth grants program.,Licensing,Online/Offline,Youth grants office,"Project proposal, team credentials",45-60 days,"₦500,000-₦2,000,000",Youth groups,www.youthpolicy.gov.ng,,,,,,,,
Youth & Development,FYDP,Job Placement Service,Get job placement assistance,Find information about job placement service,Learn about job placement service and how it can help you.,Information,Online/Offline,Employment centers,"CV, qualifications",Ongoing,Free,Jobless youth,www.youthpolicy.gov.ng,,,,,,,,
Youth & Development,FYDP,Internship Opportunity Registration,Register for internship programs,Learn Internship Opportunity Registration,Take a free training class to learn internship opportunity registration.,Training,Online,Youth employment portal,"Educational background, interest area",Rolling,Free/Stipend,Students,www.youthpolicy.gov.ng,,,,,,,,
Youth & Development,FYDP,Youth Civic Engagement Program,Participate in community development,Learn Youth Civic Engagement Program,Take a free training class to learn youth civic engagement program.,Training,Offline,Community centers,"Age proof, interest",Ongoing,Free,Youth,www.youthpolicy.gov.ng,,,,,,,,
Women & Development,Ministry,Microfinance Access (Women),Get microfinance for women entrepreneurs,Get your microfinance access (women),Get official permission from the government for microfinance access (women).,Licensing,Online/Offline,Microfinance institutions,"Business registration, collateral/guarantor",7-14 days,"₦50,000-₦500,000",Women entrepreneurs,www.womenaffairs.gov.ng,,,,,,,,
Women & Development,Ministry,Skills Training Program,Vocational training for women,Learn Skills Training Program,Take a free training class to learn skills training program.,Training,Offline,Training centers,"Educational background, interest",2-4 months,Free,Women,www.womenaffairs.gov.ng,,,,,,,,
Women & Development,Ministry,Gender-Based Violence Support,Get support for GBV victims,Report Gender-Based Violence Support Problem,Tell the government about your gender-based violence support problem. It is free.,Complaint,Offline,GBV centers,None required,Ongoing,Free,GBV victims,www.womenaffairs.gov.ng,,,,,,,,
Women & Development,Ministry,Women Entrepreneur Certification,Business certification for women-led enterprises,Get Women Entrepreneur Certification Certificate,Get an official document proving you've completed women entrepreneur certification.,Certification,Online/Offline,Ministry certification dept,"Business registration, operating proof",10-20 days,"₦50,000-₦200,000",Women entrepreneurs,www.womenaffairs.gov.ng,,,,,,,,
Women & Development,Ministry,Childcare Facility Registration,Register childcare/daycare facility,Get your childcare facility registration,Get official permission from the government for childcare facility registration.,Licensing,Offline,Ministry registration,"Facility standards proof, staff credentials",14-30 days,"₦100,000-₦500,000",Childcare providers,www.womenaffairs.gov.ng,,,,,,,,
Women & Development,Ministry,Women Property Rights Support,Legal assistance on property/inheritance rights,Find information about women property rights support,Learn about women property rights support and how it can help you.,Information,Offline,Legal aid centers,Property dispute details,10-21 days,Free,Women,www.womenaffairs.gov.ng,,,,,,,,
Women & Development,Ministry,Women Leadership Training,Leadership development for women,Learn Women Leadership Training,Take a free training class to learn women leadership training.,Training,Offline,Leadership institutes,Educational background,3-4 months,Free,Women professionals,www.womenaffairs.gov.ng,,,,,,,,
Women & Development,Ministry,Women Cooperative Registration,Register women's cooperative society,Get your women cooperative registration,Register to officially get women cooperative registration.,Registration,Offline,Cooperative dept,"Members list, constitution, aims",7-14 days,"₦20,000-₦100,000",Women groups,www.womenaffairs.gov.ng,,,,,,,,
Women & Development,Ministry,Breast Cancer Screening,Free or subsidized breast cancer screening,Find information about breast cancer screening,Learn about breast cancer screening and how it can help you.,Information,Offline,Healthcare centers,Age 40+ or risk factors,Walk-in or appointment,"Free/₦5,000",Women,www.health.gov.ng,,,,,,,,
Women & Development,Ministry,Maternal Health Services (Additional),Expanded maternal and reproductive health services,Find information about maternal health (additional),Learn about maternal health services (additional) and how it can help you.,Information,Offline,Health centers,None required,Ongoing,Free,Women,www.health.gov.ng,,,,,,,,
Disabilities,NDC,Disability Certificate Issuance,Get official disability certificate,Get Disability Certificate Issuance Certificate,Get an official document proving you've completed disability  issuance.,Certification,Offline,Disability centers,"Medical assessment, identification proof",7-14 days,Free,Persons with disabilities,www.disabilitycommission.gov.ng,,,,,,,,
Disabilities,NDC,Employment Quota Verification,Verify disability employment quota,Find information about employment quota verification,Learn about employment quota verification and how it can help you.,Information,Online/Offline,Disability office,"Disability cert, employment records",2-5 days,Free,Employers,www.disabilitycommission.gov.ng,,,,,,,,
Disabilities,NDC,Accessibility Audit Service,Audit facilities for disability accessibility,Find information about accessibility audit service,Learn about accessibility audit service and how it can help you.,Information,Offline,Audit teams,"Facility location, building type",7-14 days,"₦100,000-₦500,000",Facilities,www.disabilitycommission.gov.ng,,,,,,,,
Disabilities,NDC,Rehabilitation Program Access,Access physical/mental rehabilitation,Learn Rehabilitation Program Access,Take a free training class to learn rehabilitation program access.,Training,Offline,Rehabilitation centers,"Disability cert, medical referral",Ongoing,Free/Subsidized,Disabled individuals,www.disabilitycommission.gov.ng,,,,,,,,
Disabilities,NDC,Disability Benefits Application,Apply for disability allowance/benefits,Get your disability benefits,Get official permission from the government for disability benefits application.,Licensing,Offline,Disability office,"Disability cert, income proof",14-30 days,Varies,Qualified disabled,www.disabilitycommission.gov.ng,,,,,,,,
Disabilities,NDC,Assistive Device Provision,Get assistive devices for disability,Get your assistive device provision,Register to officially get assistive device provision.,Registration,Offline,Device centers,"Disability assessment, medical proof",7-14 days,Free/Subsidized,Disabled individuals,www.disabilitycommission.gov.ng,,,,,,,,
Disabilities,NDC,Disability Advocacy Support,Get advocacy support for disability rights,Find information about disability advocacy support,Learn about disability advocacy support and how it can help you.,Information,Offline,Advocacy centers,Disability documentation,Ongoing,Free,Disabled individuals,www.disabilitycommission.gov.ng,,,,,,,,
Disabilities,NDC,Skills Training for Disabled,Vocational training for persons with disabilities,Learn Skills Training for Disabled,Take a free training class to learn skills training for disabled.,Training,Offline,Training centers,"Disability cert, aptitude",3-6 months,Free,Disabled persons,www.disabilitycommission.gov.ng,,,,,,,,
Emergency Services,FFS,Fire Safety Certification,Get fire safety certification for buildings,Get Fire Safety Certificate,Get proof that your building is safe from fire.,Certification,Offline,Fire service offices,"Building inspection, safety plan",7-14 days,"₦50,000-₦200,000",Building owners,www.fire.gov.ng,https://www.fire.gov.ng/certification,Partial,PDF Form + Inspection,https://www.fire.gov.ng/request-inspection,Yes,https://www.fire.gov.ng/forms,In-Person Inspection + Certification,Physical inspection required
Emergency Services,FFS,Building Fire Safety Inspection,Conduct fire safety inspection for compliance,Find information about building fire safety inspection,Learn about building fire safety inspection and how it can help you.,Information,Offline,Fire service teams,"Building location, purpose",3-7 days,"₦20,000-₦100,000",Building owners,www.fire.gov.ng,,,,,,,,
Emergency Services,FFS,Fire Safety Training,Training on fire prevention and response,Learn Fire Safety Training,Take a free training class to learn fire safety training.,Training,Offline,Fire training centers,Educational background,1-2 weeks,Free,Public/organizations,www.fire.gov.ng,,,,,,,,
Emergency Services,FFS,Fire Equipment Certification,Certify fire extinguishers and equipment,Get Fire Equipment Certification Certificate,Get an official document proving you've completed fire equipment certification.,Certification,Offline,Service centers,Equipment inspection,3-5 days,"₦10,000-₦50,000",Equipment owners,www.fire.gov.ng,,,,,,,,
Emergency Services,NSCDC,Civil Defence Certificate,Get certificate for civil defence training,Get Civil Defence Certificate Certificate,Get an official document proving you've completed civil defence.,Certification,Offline,NSCDC centers,"Training completion, assessment",14-30 days,Free,Trained personnel,www.nscdc.gov.ng,,,,,,,,
Emergency Services,NSCDC,Disaster Response Training,Training for emergency/disaster response,Learn Disaster Response Training,Take a free training class to learn disaster response training.,Training,Offline,NSCDC academies,"Physical fitness, commitment",4-6 weeks,Free,Community volunteers,www.nscdc.gov.ng,,,,,,,,
Emergency Services,NEMA,Disaster Preparedness Program,Participate in disaster preparedness planning,Learn Disaster Preparedness Program,Take a free training class to learn disaster preparedness program.,Training,Offline,NEMA community centers,Community registration,Ongoing,Free,Communities,www.nema.gov.ng,,,,,,,,
Emergency Services,FFS,Emergency Response Hotline,Access emergency fire/rescue services,Find information about emergency response hotline,Learn about emergency response hotline and how it can help you.,Information,Phone/Online,Emergency centers,None,Instant,Free,Public,112 or local hotline,,,,,,,,
Environment,FRIN,Reforestation Program,Participate in tree-planting initiatives,Learn Reforestation Program,Take a free training class to learn reforestation program.,Training,Offline,FRIN centers,Environmental interest,Ongoing,Free,Individuals/orgs,www.frin.gov.ng,,,,,,,,
Environment,FRIN,Forest Product License,Get license for forest product extraction,Get a forest product license,Get official permission from the government for forest product license.,Licensing,Offline,Forestry office,Environmental impact assessment,30-60 days,"₦200,000-₦1,000,000",Forest users,www.frin.gov.ng,,,,,,,,
Environment,FRIN,Timber Export Permit,Get permit to export timber,Get a timber export permit,Get official permission from the government for timber export permit.,Licensing,Offline,Forestry export dept,"Timber certification, destination",14-21 days,"₦100,000-₦500,000",Timber exporters,www.frin.gov.ng,,,,,,,,
Environment,FRIN,Environmental Restoration Service,Support environmental restoration projects,Learn Environmental Restoration Service,Take a free training class to learn environmental restoration service.,Training,Offline,FRIN project offices,"Project proposal, environmental value",30-60 days,"₦500,000-₦5,000,000",Organizations,www.frin.gov.ng,,,,,,,,
Environment,NAGGW,Desertification Mitigation Program,Participate in anti-desertification efforts,Learn Desertification Mitigation Program,Take a free training class to learn desertification mitigation program.,Training,Offline,NAGGW centers,Location in affected areas,Ongoing,Free/Subsidized,Farmers/communities,www.naggw.gov.ng,,,,,,,,
Environment,NAGGW,Afforestation Project Participation,Join afforestation/green projects,Learn Afforestation Project Participation,Take a free training class to learn afforestation project participation.,Training,Offline,NAGGW offices,Environmental commitment,Ongoing,Free,Individuals/groups,www.naggw.gov.ng,,,,,,,,
Environment,NESREA,Carbon Credit Application,Apply for carbon credit schemes,Get your carbon credit,Get official permission from the government for carbon credit application.,Licensing,Online/Offline,NESREA carbon dept,"Environmental project details, impact assessment",30-60 days,Variable,Green businesses,www.nesrea.gov.ng,,,,,,,,
Environment,NESREA,Climate Resilience Program,Participate in climate adaptation programs,Learn Climate Resilience Program,Take a free training class to learn climate resilience program.,Training,Offline,NESREA centers,Community/business details,Ongoing,Free,Communities/businesses,www.nesrea.gov.ng,,,,,,,,
Environment,NESREA,Green Business Certification,Certify business as environmentally friendly,Get Green Business Certification Certificate,Get an official document proving you've completed green business certification.,Certification,Offline,NESREA office,"Business operations audit, sustainability proof",21-30 days,"₦100,000-₦500,000",Businesses,www.nesrea.gov.ng,,,,,,,,
Environment,EFCC,Wildlife Protection Report,Report wildlife/environmental crimes,Report Wildlife Protection Report Problem,Tell the government about your wildlife protection report problem. It is free.,Complaint,Online/Offline,Wildlife office,"Incident details, evidence",5-15 days,Free,Public,www.efcc.gov.ng,,,,,,,,
Defence & Military,Nigerian Military,Military Recruitment,Enlist in Nigerian armed forces,Join The Nigerian Military,Apply to become a soldier or airman.,Licensing,Online/Offline,Military recruitment offices,"Educational cert, medical exam, age 18-30",90-180 days,Free,Qualified Nigerians,www.mil.ng,,,,,,,,
Defence & Military,Nigerian Military,Military Service Record Inquiry,Check military service records,Find information about military service record inquiry,Learn about military service record inquiry and how it can help you.,Information,Offline,Records office,Service number or NIN,2-5 days,Free,Veterans/families,www.mil.ng,,,,,,,,
Defence & Military,Military Pensions Board,Military Pension Application,Apply for military retirement pension,Get your military pension,Get official permission from the government for military pension application.,Licensing,Offline,Pensions office,"Service discharge papers, retirement documents",30-60 days,Pension-dependent,Retired military,www.militarypensions.gov.ng,,,,,,,,
Defence & Military,Military Pensions Board,Veteran Benefit Claim,Claim veterans benefits,Pay your veteran benefit claim,Pay your veteran benefit claim through the government payment system.,Payment,Offline,Veterans office,"Service record, disability proof if applicable",21-30 days,Varies,Veterans,www.militarypensions.gov.ng,,,,,,,,
Defence & Military,Military Pensions Board,Discharge Certificate Issuance,Get official discharge certificate,Get Discharge Certificate Issuance Certificate,Get an official document proving you've completed discharge  issuance.,Certification,Offline,Records office,"Service number, ID",7-14 days,Free,Discharged military,www.mil.ng,,,,,,,,
